Category Level 1,Category Level 2,Category Level 3,Category Level 4,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG51FEC1CA1,Go Pro Gimble Stabilizer,1,£39.99,£30.00,£1.66,£38.32,£8.33,21.72%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGC2A67193E,Opticron Monopod and clamp,1,£39.99,£20.00,£3.33,£36.66,£16.66,45.44%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG64E9D3858,Neewer Tripod Head,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG1EAE4F60B,Olympus Trip 35,1,£69.99,£20.00,£8.33,£61.66,£41.66,67.56%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG2BB3DF0B6,Other SPLIT PLEASE,1,£85.00,£85.00,£0.00,£85.00,£0.00,0.00%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG5F1742E01,Velbon d-500 Tripod,1,£9.99,£2.00,£1.33,£8.66,£6.66,76.90%
Cameras & Photography,Camera & Photo Accessories,Other,,BBNNB0D74E3E4,YongNuo 50mm lens,1,£39.99,£15.00,£4.16,£35.82,£20.83,58.13%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG76DA5FB3F,Camera Accessories,1,£79.99,£40.00,£6.66,£73.32,£33.32,45.45%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGFE07611CD,"K&F Concept 62"" tripod",-1,-£49.99,-£25.00,-£4.16,-£45.82,-£20.83,45.44%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGQKFNAE4JA,ower Super Wide Macro Lens 0.42X 0.42 X AF Fisheye 46Mm,1,£25.00,£15.00,£1.67,£23.33,£8.33,35.71%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGRQMTYNIPS,Vivitar 2xProfessional multiplier,1,£9.99,£5.00,£0.83,£9.16,£4.16,45.40%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGJPGXPGMGZ,rokinon 1.8 500mm lens,1,£29.99,£10.00,£3.33,£26.66,£16.66,62.49%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGVZLO7UDCE,Di700A flash,1,£49.99,£15.00,£5.83,£44.16,£29.16,66.03%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGMZQSLKAWN,Kenro KFL 101 flash,1,£9.99,£3.00,£1.16,£8.82,£5.82,66.01%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGGM487OHWE,Nissan mg 8000,1,£149.99,£37.00,£18.83,£131.16,£94.16,71.79%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGA9NC3JCTC,universal camera mount,1,£34.99,£15.00,£3.33,£31.66,£16.66,52.62%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWG81LL97VQB,speedlight powerblock 900 flashgun battery,1,£29.99,£7.50,£3.75,£26.24,£18.74,71.42%
Cameras & Photography,Camera & Photo Accessories,Other,,BBWGHROREWRIP,speedlight powerblock 900 flashgun battery,1,£29.99,£7.50,£3.75,£26.24,£18.74,71.42%
