Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Other,,BBTXBDDC2D335,Armani exchange watch,1,£49.99,£25.00,£4.16,£45.82,£20.83,45.44%
Jewellery & Watches,Other,,BBTXC0B30D7A9,Accurist watch,1,£24.99,£10.00,£2.50,£22.49,£12.49,55.54%
Jewellery & Watches,Other,,BBTX4925DAC82,4 x dress rings,1,£19.99,£12.00,£1.33,£18.66,£6.66,35.69%
Jewellery & Watches,Other,,BBTXJES7AJYNJ,ear rings and necklace,1,£15.00,£7.00,£1.33,£13.67,£6.67,48.78%
Jewellery & Watches,Other,,BBTX07KPVZHSL,pandora bracelet 5x charms,1,£99.94,£40.00,£9.99,£89.95,£49.95,55.53%
Jewellery & Watches,Other,,BBTXG6DZLTFPY,Other,1,£10.00,£2.50,£1.25,£8.75,£6.25,71.43%
Jewellery & Watches,Other,,BBTX3Q4ZXOJKO,silver chain and two earings,1,£20.00,£10.00,£1.67,£18.33,£8.33,45.45%
Jewellery & Watches,Other,,BBTXTG0JTXVUN,mix of 9ct gold earings and boxing pendent,1,£199.99,£90.00,£18.33,£181.66,£91.66,50.46%
Jewellery & Watches,Other,,BBTXFBTCOMIIZ,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXQZDDGPYGL,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXTLBTH3FIT,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXPI3QTZCXR,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXEAF6WSHOL,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXGW7A4X384,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTX76RCHMQRJ,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXGHIWGXJCR,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXA72RUQYB3,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXOZEDQJTCK,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTXCYGG20WWP,jewellery,1,£0.99,£0.99,£0.00,£0.99,£0.00,0.00%
Jewellery & Watches,Other,,BBTX17CC8A8B4,Pandora,1,£29.99,£10.00,£3.33,£26.66,£16.66,62.49%
Jewellery & Watches,Other,,BBTX71719BD9B,Pandora,1,£29.99,£10.00,£3.33,£26.66,£16.66,62.49%
Jewellery & Watches,Other,,BBTXDEA0484B4,Pandora,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Other,,BBTX7765BFADA,Vintage Swarovski Blue Crystal Ring,1,£99.99,£10.00,£15.00,£84.99,£74.99,88.23%
Jewellery & Watches,Other,,BBTXFAFC4A6C4,Vintage Swarovski White Crystal Ring,1,£99.99,£10.00,£15.00,£84.99,£74.99,88.23%
Jewellery & Watches,Other,,BBTX87D384C57,Swarovski Fabric Choker Necklace,1,£39.99,£10.00,£5.00,£34.99,£24.99,71.42%
Jewellery & Watches,Other,,BBTX0F16DB2D6,Swarovski Necklace,1,£49.99,£10.00,£6.66,£43.32,£33.32,76.92%
Jewellery & Watches,Other,,BBTX0CA3E416B,pandora Bracelet,1,£29.99,£5.00,£4.16,£25.82,£20.82,80.64%
Jewellery & Watches,Other,,BBTXC3BB69A69,Pandora Cham,3,£38.97,£15.00,£3.99,£34.98,£19.98,57.11%
Jewellery & Watches,Other,,BBTXKGBMT8E7O,Mix of 9ct gold jewellery,1,£349.99,£150.00,£33.33,£316.66,£166.66,52.63%
Jewellery & Watches,Other,,BBTXMZN4VMJMM,9kt earrings and silver ring,1,£24.99,£10.00,£2.50,£22.49,£12.49,55.54%
Jewellery & Watches,Other,,BBTXVTCHCSXUX,nomination bracelet with 2 charms,1,£20.00,£10.00,£1.67,£18.33,£8.33,45.45%
Jewellery & Watches,Other,,BBTXR3YCTABLJ,silver gate bracelet,1,£9.99,£5.00,£0.83,£9.16,£4.16,45.40%
Jewellery & Watches,Other,,BBTXN8KLOMKHE,4 X 7.8G,1,£0.99,£150.00,£0.00,£0.99,-£149.01,"-15,051.52%"
Jewellery & Watches,Other,,BBTXGELKNHSRX,Rotary LB02700,1,£40.00,£20.00,£3.33,£36.67,£16.67,45.45%
Jewellery & Watches,Other,,BBTXYOL8XMOLL,Armani Exchange AX2701,1,£60.00,£25.00,£5.83,£54.17,£29.17,53.85%
Jewellery & Watches,Other,,BBTXUHQVT9RDM,Pandora Celestial Heart Clasp Bangle,1,£35.00,£20.00,£2.50,£32.50,£12.50,38.46%
Jewellery & Watches,Other,,BBTXMAJHQHCNS,mix of dress jewellery,1,£0.10,£8.00,£0.00,£0.10,-£7.90,"-7,900.00%"
Jewellery & Watches,Other,,BBTX7PH4ONXQF,Lige Watch,8,£39.92,£8.00,£5.32,£34.60,£26.60,76.88%
Jewellery & Watches,Pendant,,BBTXZF4Z4IXKT,Thomas Sabo Silver Winged Heart Pendant,1,£69.99,£35.00,£5.83,£64.16,£29.16,45.45%
Jewellery & Watches,Pendant,,BBTXVRPJXLQ6Q,9ct Filled Sov Coin Holder,1,£79.99,£30.00,£8.33,£71.66,£41.66,58.13%
Jewellery & Watches,Pendant,,BBTX5TMDG8RXT,Real Korean War Medals,1,£20.00,£10.00,£1.67,£18.33,£8.33,45.45%
Jewellery & Watches,Pendant,,BBTXHEDWHI8E2,Real Korean War Medals,1,£20.00,£10.00,£1.67,£18.33,£8.33,45.45%
