Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Collectables,Figures,,BBWG7286A2FE1,Pop Figures,1,£11.99,£2.50,£1.58,£10.41,£7.91,75.98%
Collectables,Figures,,BBWG8E0E9CDCA,Soldier Supreme 858,1,£11.99,£2.50,£1.58,£10.41,£7.91,75.98%
Collectables,Figures,,BBWG64B8EF872,Pop Figures,1,£11.99,£2.50,£1.58,£10.41,£7.91,75.98%
Collectables,Figures,,BBWG04777B9B9,Yugi Deck,1,£399.99,£75.00,£54.16,£345.83,£270.83,78.31%
Collectables,Figures,,BBWG224B90F04,REVELL Model Racing 46-08310-Lotus cortina-Riiner schwedt,1,£29.99,£10.00,£3.33,£26.66,£16.66,62.49%
Collectables,Figures,,BBWGF73666130,Scalextric Mini Cooper S-GRX 309D-1:32 Scale,-1,-£29.99,-£10.00,-£3.33,-£26.66,-£16.66,62.49%
Collectables,Figures,,BBWGBC879C443,LukeSkywalker [Jedi],-1,-£24.99,-£2.40,-£3.77,-£21.22,-£18.82,88.69%
Collectables,Figures,,BBWGBA5CFCB05,Groot 49,1,£11.99,£2.40,£1.60,£10.39,£7.99,76.90%
Collectables,Figures,,BBWG73F8711E5,Falcon 127,1,£17.99,£2.40,£2.60,£15.39,£12.99,84.41%
Collectables,Figures,,BBWG420911EF5,Dug 201,1,£19.99,£2.40,£2.93,£17.06,£14.66,85.93%
Collectables,Figures,,BBWGGFMRQWRX0,88 - Uncharted 4 - Nathan Drake,1,£19.99,£2.50,£2.91,£17.08,£14.58,85.36%
Collectables,Figures,,BBWG9C9DCC9A1,11 Luke Skywalker [Jedi],1,£24.99,£0.90,£4.02,£20.97,£20.08,95.71%
Collectables,Figures,,BBWGBB5E1A37B,23 Minnie Mouse,1,£24.99,£1.00,£4.00,£20.99,£19.99,95.24%
Collectables,Figures,,BBWG39A35C98B,iron man,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWG180C97411,cap am,1,£4.99,£1.00,£0.66,£4.32,£3.32,76.88%
Collectables,Figures,,BBWGXYFLVVKAV,Blue Power  Ranger,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWGBBRJUG17Y,White Power  Ranger,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWGIWIWFWLWI,dragon ball z 30th anniversary collectors edition,1,£0.01,£100.00,£0.00,£0.01,-£99.99,"-999,900.00%"
Collectables,Figures,,BBWGSQCODBEXN,Funko,-1,-£5.00,-£2.50,-£0.42,-£4.58,-£2.08,45.45%
Collectables,Figures,,BBWG6KGS2P7CU,Funko,1,£5.00,£2.50,£0.42,£4.58,£2.08,45.45%
Collectables,Figures,,BBWGQBT5IC89W,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGGV8JI8WFR,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGWJFRXOTTP,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGL3YYM8V28,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGMLTE8CTU0,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWG0YXQZGQ2W,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWG306LTBET8,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGPHBQQVJLK,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWG0ECDV9MP7,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGVDSTRNECI,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGPLZLPXFOH,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGZYREFJ5RJ,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGI3QZM86JB,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWG4J8GOE4BZ,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGLESMCDICM,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGQNJLJXLZD,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBWGCXFBJPQUN,Harry Potter Chess,1,£4.99,£2.00,£0.50,£4.49,£2.49,55.47%
Collectables,Figures,,BBTXQQ22B1ZOT,Warhammer 40k Combat Patrol: Tyranids Games Workshop BNIB,1,£79.99,£40.00,£6.66,£73.32,£33.32,45.45%
Collectables,Figures,,BBWG3WIZKWTTZ,5 sets of Harry potter Chess Figures,1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Collectables,Figures,,BBWG4BD769B03,Eleven pop funk,1,£51.00,£2.00,£8.17,£42.83,£40.83,95.33%
Collectables,Figures,,BBWGKZMOP0CYG,wonder woman,1,£8.00,£5.00,£0.50,£7.50,£2.50,33.33%
Collectables,Figures,,BBWGAVQBGBJFR,catwoman,1,£8.00,£5.00,£0.50,£7.50,£2.50,33.33%
Collectables,Figures,,BBWG4B15987CF,Pop,1,£5.99,£3.00,£0.50,£5.49,£2.49,45.37%
Collectables,Figures,,BBWGG5VEOJUAW,shantae risky's revenge directors cut,1,£90.00,£40.00,£8.33,£81.67,£41.67,51.02%
Collectables,Figures,,BBWG9KTMG0SOC,ps5 controller,1,£50.00,£25.00,£4.17,£45.83,£20.83,45.45%
Collectables,Figures,,BBWGS9JQCUFYF,Funko Pop! Star Wars: The Empire Strikes Back Boba Fett Super Shogun Vinyl Figure,1,£180.00,£75.00,£17.50,£162.50,£87.50,53.85%
Collectables,Figures,,BBWGQI7DCRJLL,Metal Gear Solid Twin Snakes,1,£55.00,£25.00,£5.00,£50.00,£25.00,50.00%
Collectables,Figures,,BBWG8B2A2DA2F,harry potter trivia game,1,£4.00,£0.40,£0.60,£3.40,£3.00,88.24%
Collectables,Figures,,BBWG9A056FBA9,harry potter scrabblegame,1,£4.00,£0.40,£0.60,£3.40,£3.00,88.24%
Collectables,Figures,,BBWGOSSBTWXJZ,chinese decorative plates royal doulton crystal thailandesa amodillada,1,£400.00,£55.00,£57.50,£342.50,£287.50,83.94%
Collectables,Other,,BB22J0TWG2TB6,weytek handpiece,1,£175.00,£70.00,£17.50,£157.50,£87.50,55.56%
Collectables,Other,,BBC6D0ZWG2XIE,pop figure,-1,-£9.99,-£5.00,-£0.83,-£9.16,-£4.16,45.40%
Collectables,Other,,BBC6D0ZWG2YKM,Pop Vin {K},1,£5.00,£5.00,£0.00,£5.00,£0.00,0.00%
Collectables,Other,,BBWG5DEA70E3F,Other computer game figurines A,-1,-£5.99,-£3.00,-£0.50,-£5.49,-£2.49,45.37%
Collectables,Other,,BBC6A0ZW7T6B8,star wars bobble B,1,£6.99,£1.00,£1.00,£5.99,£4.99,83.31%
Collectables,Other,,BBWG7A9273016,Military Watch [C],-1,-£9.99,-£5.00,-£0.83,-£9.16,-£4.16,45.40%
Collectables,Other,,BBWGO86TDOKCP,Lemax Merry Snowman,1,£12.99,£5.00,£1.33,£11.66,£6.66,57.11%
Collectables,Other,,BBWG5WAKVEY3P,Coopers flag and pole set,1,£44.99,£23.00,£3.66,£41.32,£18.33,44.34%
Collectables,Other,,BBWG3FTEXX5X5,POP! figure pokemon,1,£12.99,£5.00,£1.33,£11.66,£6.66,57.11%
Collectables,Other,,BBWGDH1MJSZXP,POP! figure pokemon,-1,-£12.99,-£5.00,-£1.33,-£11.66,-£6.66,57.11%
Collectables,Other,,BBWGCNXZUGKY3,POP! figures mixed,1,£9.99,£2.00,£1.33,£8.66,£6.66,76.90%
Collectables,Other,,BBWG9RXF67M8N,POP! mini figure,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Other,,BBWG32AE41452,Misc Items,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Collectables,Other,,BBWG4C0BD25A6,1940-1990 Plate,1,£4.99,£1.00,£0.66,£4.32,£3.32,76.88%
Collectables,Other,,BBWG8E0C6A70A,Stadio,1,£10.00,£2.50,£1.25,£8.75,£6.25,71.43%
Collectables,Other,,BBWG8DAA303C4,Assassin's Creed 4: Black Flag - Buccaneer Edition,1,£39.99,£10.00,£5.00,£34.99,£24.99,71.42%
Collectables,Other,,BBWG3E1AF6EBD,Switch,1,£199.99,£108.00,£15.33,£184.66,£76.66,41.51%
Collectables,Other,,BBWG57D1A4F1B,Bizarro & Batman collectables,-1,-£15.99,-£10.00,-£1.00,-£14.99,-£4.99,33.30%
Collectables,Other,,BBWGB0EF2AB6F,Snap-On Light / 5x Table Top Lighters / Misc Smoking Accessories / Watch / HeadLamp,1,£69.99,£22.00,£8.00,£61.99,£39.99,64.51%
Collectables,Other,,BBWG905806BE1,"700-884-MPI21 Netlink PRO Compact, PROFIBUS Ethernet Gateway for Programming S7 PLCs",1,£549.99,£200.00,£58.33,£491.66,£291.66,59.32%
Collectables,Other,,BBWG31D4867D0,Yoda 02,-1,-£9.99,-£2.34,-£1.27,-£8.72,-£6.38,73.15%
Collectables,Other,,BBWG607AE4724,Chewbacca 06,-1,-£11.99,-£2.34,-£1.61,-£10.38,-£8.04,77.46%
Collectables,Other,,BBWG00F814B24,Director Orson 142,-1,-£9.99,-£2.34,-£1.27,-£8.72,-£6.38,73.15%
Collectables,Other,,BBWG759BDA674,The Fighter Piolet 51,1,£14.99,£2.34,£2.11,£12.88,£10.54,81.83%
Collectables,Other,,BBWG05A1ECAA6,R2-D2 (Jabba's Skiff) 121,-1,-£9.99,-£2.34,-£1.27,-£8.72,-£6.38,73.15%
Collectables,Other,,BBWG9C521267F,bb-8 61,-1,-£11.99,-£2.34,-£1.61,-£10.38,-£8.04,77.46%
Collectables,Other,,BBWGB7F8C2292,Zuckuss 112,-4,-£39.96,-£9.36,-£5.10,-£34.86,-£25.50,73.15%
Collectables,Other,,BBWGF115A8BAC,Jyn Erso 138,1,£9.99,£2.34,£1.27,£8.72,£6.38,73.15%
Collectables,Other,,BBWGF5B05FF76,Poe Dameron 62,1,£9.99,£2.34,£1.27,£8.72,£6.38,73.15%
